t,src,snk
t010, 21, 39
t010, 30, 7
t011, 2, 9
t011, 15, 22
t011, 30, 7
t011, 31, 19
t012, 2, 22
t012, 23, 9
t012, 31, 35
t012, 35, 37
t013, 5, 9
t013, 5, 36
t013, 23, 9
t013, 37, 19
t013, 39, 8
t014, 4, 35
t014, 23, 22
t014, 24, 23
t014, 35, 37
t014, 37, 19
t014, 39, 8
t015, 4, 35
t015, 5, 9
t015, 5, 22
t015, 12, 22
t015, 14, 22
t015, 15, 16
t015, 20, 22
t015, 25, 36
t015, 30, 7
t015, 34, 23
t015, 36, 35
t015, 39, 8
t015, 40, 35
t016, 4, 35
t016, 5, 22
t016, 6, 34
t016, 7, 22
t016, 11, 34
t016, 12, 22
t016, 14, 22
t016, 15, 16
t016, 16, 11
t016, 16, 35
t016, 21, 22
t016, 25, 36
t016, 30, 7
t016, 33, 10
t016, 34, 23
t016, 35, 16
t016, 35, 37
t016, 40, 4
t016, 40, 35
t017, 7, 22
t017, 8, 10
t017, 8, 22
t017, 11, 34
t017, 15, 16
t017, 22, 16
t017, 25, 8
t017, 29, 4
t017, 29, 25
t017, 31, 19
t017, 32, 22
t017, 32, 23
t017, 34, 23
t017, 35, 37
t017, 36, 10
t017, 40, 4
t017, 40, 22
t018, 4, 35
t018, 7, 10
t018, 7, 22
t018, 8, 10
t018, 11, 34
t018, 12, 26
t018, 15, 4
t018, 21, 22
t018, 22, 16
t018, 22, 18
t018, 25, 4
t018, 29, 5
t018, 31, 19
t018, 32, 23
t018, 34, 23
t018, 35, 34
t018, 36, 14
t018, 36, 19
t018, 40, 22
t019, 1, 4
t019, 4, 26
t019, 4, 35
t019, 7, 22
t019, 8, 10
t019, 11, 34
t019, 13, 11
t019, 18, 22
t019, 23, 10
t019, 23, 20
t019, 23, 22
t019, 27, 10
t019, 28, 11
t019, 29, 5
t019, 29, 11
t019, 31, 19
t019, 32, 23
t019, 33, 26
t019, 34, 23
t019, 38, 26
t019, 39, 4
t020, 3, 11
t020, 4, 18
t020, 4, 35
t020, 5, 8
t020, 7, 22
t020, 8, 19
t020, 8, 40
t020, 11, 34
t020, 13, 11
t020, 15, 16
t020, 18, 4
t020, 18, 35
t020, 21, 14
t020, 21, 22
t020, 21, 26
t020, 23, 10
t020, 23, 19
t020, 24, 11
t020, 24, 23
t020, 25, 11
t020, 25, 22
t020, 28, 11
t020, 29, 5
t020, 31, 11
t020, 32, 23
t020, 33, 26
t020, 34, 23
t020, 37, 18
t020, 38, 6
t020, 38, 26
t020, 39, 4
t021, 1, 26
t021, 2, 10
t021, 3, 11
t021, 3, 22
t021, 4, 18
t021, 4, 26
t021, 8, 22
t021, 10, 11
t021, 11, 18
t021, 11, 22
t021, 11, 34
t021, 12, 26
t021, 18, 4
t021, 18, 35
t021, 20, 10
t021, 21, 22
t021, 23, 19
t021, 23, 20
t021, 24, 20
t021, 24, 23
t021, 25, 9
t021, 28, 11
t021, 31, 10
t021, 31, 11
t021, 31, 23
t021, 31, 26
t021, 31, 28
t021, 32, 23
t021, 34, 35
t021, 38, 30
t021, 39, 4
t021, 39, 10
t021, 40, 11
t022, 1, 22
t022, 2, 1
t022, 2, 16
t022, 3, 11
t022, 3, 22
t022, 4, 8
t022, 4, 23
t022, 4, 25
t022, 4, 26
t022, 4, 29
t022, 4, 37
t022, 6, 10
t022, 7, 22
t022, 7, 37
t022, 8, 9
t022, 8, 22
t022, 10, 11
t022, 10, 18
t022, 10, 34
t022, 11, 10
t022, 11, 22
t022, 11, 34
t022, 12, 26
t022, 14, 25
t022, 15, 18
t022, 15, 22
t022, 18, 4
t022, 18, 34
t022, 18, 35
t022, 19, 24
t022, 23, 6
t022, 23, 22
t022, 24, 8
t022, 24, 26
t022, 24, 30
t022, 25, 9
t022, 26, 18
t022, 28, 11
t022, 31, 11
t022, 31, 22
t022, 31, 28
t022, 32, 18
t022, 32, 26
t022, 34, 22
t022, 37, 11
t022, 38, 30
t022, 39, 10
t022, 39, 26
t022, 40, 27
t023, 1, 22
t023, 2, 16
t023, 3, 11
t023, 8, 22
t023, 8, 35
t023, 9, 26
t023, 10, 11
t023, 11, 10
t023, 11, 34
t023, 12, 16
t023, 14, 35
t023, 14, 38
t023, 15, 4
t023, 15, 18
t023, 15, 26
t023, 18, 4
t023, 18, 11
t023, 20, 10
t023, 20, 37
t023, 21, 10
t023, 22, 27
t023, 23, 32
t023, 24, 26
t023, 24, 30
t023, 26, 18
t023, 27, 10
t023, 28, 11
t023, 31, 10
t023, 31, 11
t023, 31, 22
t023, 32, 10
t023, 34, 22
t023, 35, 16
t023, 37, 18
t023, 38, 39
t023, 40, 21
t023, 40, 35
t024, 3, 26
t024, 4, 26
t024, 4, 37
t024, 8, 9
t024, 8, 16
t024, 8, 25
t024, 8, 35
t024, 11, 10
t024, 11, 34
t024, 14, 22
t024, 15, 18
t024, 15, 26
t024, 16, 21
t024, 18, 4
t024, 18, 11
t024, 18, 35
t024, 22, 4
t024, 22, 20
t024, 23, 16
t024, 24, 23
t024, 24, 25
t024, 24, 26
t024, 24, 30
t024, 26, 18
t024, 30, 7
t024, 30, 39
t024, 31, 19
t024, 31, 26
t024, 35, 16
t024, 37, 25
t025, 1, 4
t025, 1, 19
t025, 2, 26
t025, 2, 35
t025, 5, 23
t025, 5, 39
t025, 6, 10
t025, 6, 26
t025, 8, 9
t025, 8, 22
t025, 8, 25
t025, 10, 34
t025, 11, 10
t025, 11, 32
t025, 14, 22
t025, 16, 7
t025, 16, 26
t025, 17, 10
t025, 18, 4
t025, 18, 11
t025, 23, 20
t025, 26, 18
t025, 27, 38
t025, 28, 11
t025, 28, 22
t025, 30, 37
t025, 30, 39
t025, 31, 26
t025, 32, 10
t025, 32, 22
t025, 33, 25
t025, 36, 22
t025, 38, 10
t025, 39, 36
t026, 1, 4
t026, 4, 8
t026, 4, 14
t026, 4, 25
t026, 4, 26
t026, 4, 35
t026, 5, 23
t026, 5, 25
t026, 6, 22
t026, 6, 26
t026, 6, 35
t026, 6, 39
t026, 7, 16
t026, 8, 16
t026, 8, 25
t026, 9, 11
t026, 10, 18
t026, 10, 26
t026, 10, 34
t026, 11, 10
t026, 11, 25
t026, 11, 39
t026, 12, 10
t026, 12, 22
t026, 12, 23
t026, 12, 37
t026, 13, 37
t026, 16, 21
t026, 16, 26
t026, 17, 10
t026, 17, 22
t026, 18, 4
t026, 18, 22
t026, 20, 29
t026, 26, 18
t026, 28, 11
t026, 31, 26
t026, 33, 11
t026, 33, 22
t026, 33, 25
t026, 34, 6
t026, 34, 22
t026, 36, 22
t026, 37, 29
t026, 39, 4
t027, 3, 25
t027, 5, 26
t027, 6, 26
t027, 7, 16
t027, 8, 16
t027, 8, 40
t027, 9, 10
t027, 10, 11
t027, 10, 16
t027, 10, 18
t027, 10, 19
t027, 10, 34
t027, 10, 38
t027, 12, 10
t027, 12, 16
t027, 12, 22
t027, 12, 23
t027, 13, 25
t027, 15, 16
t027, 16, 26
t027, 17, 10
t027, 18, 4
t027, 18, 22
t027, 20, 22
t027, 20, 29
t027, 21, 22
t027, 23, 12
t027, 24, 37
t027, 25, 16
t027, 26, 2
t027, 26, 17
t027, 26, 18
t027, 26, 19
t027, 26, 25
t027, 26, 30
t027, 26, 35
t027, 27, 26
t027, 28, 27
t027, 30, 26
t027, 32, 10
t027, 33, 25
t027, 33, 26
t027, 34, 12
t027, 35, 37
t027, 36, 29
t027, 36, 37
t027, 37, 29
t027, 40, 16
t028, 2, 29
t028, 4, 34
t028, 5, 4
t028, 5, 22
t028, 5, 37
t028, 6, 22
t028, 6, 25
t028, 8, 34
t028, 9, 22
t028, 10, 11
t028, 10, 16
t028, 10, 18
t028, 10, 19
t028, 10, 22
t028, 10, 26
t028, 12, 16
t028, 12, 22
t028, 12, 39
t028, 13, 25
t028, 13, 29
t028, 15, 7
t028, 15, 40
t028, 17, 10
t028, 18, 4
t028, 18, 22
t028, 19, 26
t028, 20, 11
t028, 20, 22
t028, 20, 34
t028, 21, 22
t028, 23, 12
t028, 23, 32
t028, 24, 3
t028, 26, 1
t028, 26, 3
t028, 26, 18
t028, 26, 35
t028, 27, 26
t028, 27, 38
t028, 31, 35
t028, 33, 11
t028, 35, 22
t028, 35, 25
t028, 35, 37
t028, 36, 29
t028, 36, 37
t028, 37, 29
t028, 38, 37
t028, 39, 29
t029, 1, 35
t029, 2, 11
t029, 4, 8
t029, 4, 29
t029, 5, 25
t029, 8, 25
t029, 9, 22
t029, 10, 11
t029, 10, 16
t029, 10, 18
t029, 10, 19
t029, 10, 22
t029, 10, 26
t029, 10, 38
t029, 12, 22
t029, 12, 39
t029, 17, 10
