t,src,snk
t010, 9, 31
t011, 9, 31
t011, 28, 24
t012, 9, 31
t012, 15, 1
t012, 28, 24
t013, 9, 31
t013, 15, 1
t013, 28, 24
t014, 9, 10
t014, 9, 31
t014, 15, 1
t014, 21, 10
t014, 28, 24
t014, 37, 7
t015, 1, 37
t015, 8, 23
t015, 15, 1
t015, 31, 37
t015, 35, 39
t015, 37, 7
t016, 1, 37
t016, 5, 34
t016, 8, 23
t016, 15, 1
t016, 21, 26
t016, 27, 26
t016, 31, 37
t016, 35, 39
t016, 40, 23
t017, 1, 37
t017, 2, 39
t017, 4, 22
t017, 5, 34
t017, 8, 23
t017, 15, 1
t017, 15, 6
t017, 21, 26
t017, 26, 15
t017, 26, 31
t017, 27, 26
t017, 29, 26
t017, 31, 37
t017, 35, 39
t017, 40, 23
t018, 1, 37
t018, 2, 39
t018, 4, 22
t018, 5, 34
t018, 8, 4
t018, 8, 23
t018, 12, 4
t018, 15, 1
t018, 15, 6
t018, 21, 26
t018, 23, 2
t018, 23, 15
t018, 26, 15
t018, 26, 22
t018, 26, 31
t018, 27, 26
t018, 28, 11
t018, 29, 26
t018, 31, 37
t018, 35, 39
t018, 38, 13
t018, 40, 28
t019, 1, 11
t019, 1, 37
t019, 3, 37
t019, 4, 22
t019, 4, 23
t019, 5, 34
t019, 6, 25
t019, 8, 4
t019, 12, 4
t019, 12, 38
t019, 13, 37
t019, 15, 1
t019, 15, 6
t019, 16, 7
t019, 21, 26
t019, 22, 39
t019, 23, 2
t019, 26, 22
t019, 26, 31
t019, 28, 11
t019, 29, 4
t019, 29, 26
t019, 29, 39
t019, 34, 8
t019, 34, 11
t019, 35, 39
t019, 40, 28
t020, 1, 11
t020, 1, 37
t020, 3, 37
t020, 4, 22
t020, 4, 23
t020, 5, 34
t020, 6, 25
t020, 8, 4
t020, 12, 4
t020, 12, 38
t020, 13, 37
t020, 14, 38
t020, 15, 1
t020, 15, 6
t020, 16, 7
t020, 21, 26
t020, 21, 27
t020, 22, 39
t020, 23, 18
t020, 24, 5
t020, 25, 14
t020, 27, 2
t020, 27, 25
t020, 29, 4
t020, 29, 26
t020, 29, 39
t020, 31, 9
t020, 33, 36
t020, 34, 8
t020, 34, 38
t021, 1, 11
t021, 1, 37
t021, 4, 22
t021, 4, 23
t021, 6, 25
t021, 6, 32
t021, 7, 16
t021, 8, 4
t021, 11, 1
t021, 11, 19
t021, 11, 37
t021, 12, 38
t021, 13, 25
t021, 13, 37
t021, 14, 38
t021, 15, 6
t021, 15, 40
t021, 16, 7
t021, 19, 5
t021, 19, 11
t021, 21, 2
t021, 21, 6
t021, 23, 18
t021, 24, 5
t021, 24, 13
t021, 26, 9
t021, 27, 2
t021, 27, 19
t021, 27, 25
t021, 29, 4
t021, 29, 9
t021, 29, 26
t021, 29, 39
t021, 31, 9
t021, 31, 26
t021, 32, 14
t021, 34, 38
t021, 37, 3
t021, 39, 38
t021, 40, 10
t022, 1, 11
t022, 1, 37
t022, 4, 22
t022, 5, 10
t022, 6, 7
t022, 6, 32
t022, 7, 16
t022, 7, 17
t022, 7, 24
t022, 8, 4
t022, 11, 1
t022, 11, 19
t022, 11, 37
t022, 12, 38
t022, 13, 25
t022, 13, 37
t022, 14, 38
t022, 15, 3
t022, 15, 6
t022, 15, 40
t022, 16, 7
t022, 19, 5
t022, 19, 11
t022, 21, 2
t022, 21, 6
t022, 21, 25
t022, 22, 9
t022, 23, 6
t022, 23, 18
t022, 24, 5
t022, 24, 13
t022, 25, 17
t022, 26, 22
t022, 27, 2
t022, 27, 19
t022, 27, 25
t022, 28, 1
t022, 29, 9
t022, 29, 26
t022, 29, 39
t022, 30, 5
t022, 31, 2
t022, 31, 9
t022, 31, 26
t022, 32, 9
t022, 32, 14
t022, 32, 37
t022, 33, 16
t022, 36, 9
t022, 37, 3
t023, 1, 3
t023, 1, 4
t023, 1, 11
t023, 1, 37
t023, 4, 22
t023, 6, 3
t023, 6, 7
t023, 7, 16
t023, 7, 17
t023, 7, 24
t023, 7, 28
t023, 8, 4
t023, 11, 1
t023, 11, 19
t023, 12, 24
