t,src,snk
t009, 4, 12
t009, 8, 12
t009, 18, 12
t009, 28, 24
t009, 31, 12
t010, 4, 12
t010, 6, 34
t010, 8, 12
t010, 18, 12
t010, 23, 12
t010, 28, 24
t010, 31, 12
t011, 4, 12
t011, 5, 27
t011, 6, 34
t011, 8, 12
t011, 14, 15
t011, 19, 16
t011, 23, 12
t011, 28, 24
t011, 31, 12
t011, 34, 16
t011, 36, 3
t011, 39, 35
t012, 1, 12
t012, 1, 23
t012, 4, 12
t012, 5, 27
t012, 6, 34
t012, 8, 12
t012, 14, 15
t012, 19, 16
t012, 20, 39
t012, 21, 1
t012, 23, 12
t012, 26, 30
t012, 28, 24
t012, 31, 12
t012, 33, 22
t012, 34, 16
t012, 35, 39
t012, 36, 3
t012, 39, 35
t013, 1, 12
t013, 1, 23
t013, 4, 12
t013, 6, 34
t013, 14, 15
t013, 14, 22
t013, 19, 16
t013, 20, 39
t013, 21, 1
t013, 23, 40
t013, 26, 30
t013, 27, 18
t013, 28, 24
t013, 30, 15
t013, 33, 22
t013, 35, 39
t013, 36, 3
t013, 39, 21
t013, 39, 35
t013, 40, 17
t014, 1, 12
t014, 1, 23
t014, 4, 1
t014, 4, 12
t014, 6, 34
t014, 9, 29
t014, 10, 17
t014, 12, 8
t014, 14, 15
t014, 14, 22
t014, 19, 16
t014, 19, 34
t014, 20, 39
t014, 21, 1
t014, 22, 29
t014, 23, 40
t014, 25, 1
t014, 27, 18
t014, 28, 10
t014, 28, 24
t014, 31, 26
t014, 35, 39
t014, 36, 3
t014, 40, 17
t015, 1, 12
t015, 1, 23
t015, 2, 23
t015, 4, 1
t015, 4, 12
t015, 5, 15
t015, 6, 34
t015, 9, 2
t015, 9, 30
t015, 10, 17
t015, 12, 2
t015, 12, 8
t015, 14, 15
t015, 14, 22
t015, 14, 31
t015, 15, 28
t015, 18, 40
t015, 19, 34
t015, 20, 39
t015, 21, 1
t015, 22, 29
t015, 23, 40
t015, 25, 1
t015, 27, 36
t015, 28, 10
t015, 31, 26
t015, 33, 2
t015, 34, 33
t015, 35, 23
t015, 35, 39
t015, 36, 3
t015, 36, 15
t015, 39, 21
t015, 40, 17
t016, 1, 8
t016, 1, 12
t016, 2, 23
t016, 4, 12
t016, 5, 15
t016, 5, 18
t016, 6, 34
t016, 9, 2
t016, 9, 30
t016, 10, 17
t016, 11, 34
t016, 12, 2
t016, 12, 8
t016, 14, 15
t016, 14, 22
t016, 14, 30
t016, 14, 31
t016, 16, 5
t016, 16, 38
t016, 17, 2
t016, 17, 9
t016, 17, 38
t016, 18, 40
t016, 19, 34
t016, 20, 26
t016, 20, 39
t016, 21, 1
t016, 21, 12
t016, 23, 40
t016, 24, 6
t016, 26, 37
t016, 28, 10
t016, 31, 26
t016, 32, 38
t016, 33, 2
t016, 34, 33
t016, 35, 14
t016, 35, 23
t016, 36, 15
t016, 39, 21
t016, 40, 12
t016, 40, 15
t016, 40, 17
t017, 1, 12
t017, 2, 23
t017, 5, 15
t017, 5, 18
t017, 5, 23
t017, 6, 34
t017, 7, 15
t017, 7, 37
t017, 9, 2
t017, 9, 30
t017, 10, 17
t017, 10, 18
t017, 11, 34
t017, 12, 2
t017, 12, 5
t017, 12, 8
t017, 12, 33
t017, 12, 39
t017, 13, 1
t017, 13, 22
t017, 14, 15
t017, 14, 22
t017, 14, 23
t017, 14, 30
t017, 14, 31
t017, 16, 5
t017, 16, 7
t017, 16, 9
t017, 17, 2
t017, 17, 9
t017, 17, 38
t017, 18, 40
t017, 19, 8
t017, 20, 26
t017, 20, 39
t017, 21, 1
t017, 21, 12
t017, 22, 13
t017, 22, 18
t017, 23, 30
t017, 23, 40
t017, 24, 6
t017, 24, 28
t017, 24, 30
t017, 25, 15
t017, 25, 24
t017, 26, 1
t017, 26, 37
t017, 27, 8
t017, 27, 9
t017, 27, 32
t017, 28, 10
t017, 29, 15
t017, 29, 18
t017, 30, 2
t017, 31, 26
t017, 32, 1
t017, 32, 38
t017, 33, 2
t017, 34, 33
t017, 35, 14
t017, 35, 23
t017, 36, 15
t017, 38, 21
t017, 39, 21
t017, 40, 12
t017, 40, 15
t017, 40, 17
t017, 40, 23
t017, 40, 32
t017, 40, 34
t018, 2, 16
t018, 2, 23
t018, 2, 33
t018, 4, 23
t018, 4, 33
t018, 4, 37
t018, 5, 2
t018, 5, 15
t018, 5, 18
t018, 5, 23
t018, 6, 34
t018, 7, 15
t018, 7, 37
t018, 8, 31
t018, 10, 17
t018, 10, 18
t018, 11, 34
t018, 12, 2
t018, 12, 5
t018, 12, 8
t018, 12, 33
t018, 12, 39
t018, 13, 1
t018, 13, 17
t018, 13, 18
t018, 13, 22
t018, 13, 23
t018, 13, 37
t018, 14, 15
t018, 14, 22
t018, 14, 23
t018, 14, 30
t018, 14, 31
t018, 14, 35
t018, 15, 7
t018, 16, 7
t018, 16, 9
t018, 17, 9
t018, 17, 38
t018, 18, 24
t018, 18, 40
t018, 19, 8
t018, 20, 26
t018, 20, 39
t018, 22, 13
t018, 22, 38
t018, 22, 39
t018, 23, 30
t018, 23, 40
t018, 24, 6
t018, 24, 10
t018, 24, 28
t018, 24, 30
t018, 25, 15
t018, 25, 24
t018, 26, 1
t018, 26, 2
t018, 26, 4
t018, 26, 34
t018, 27, 8
t018, 27, 9
t018, 27, 32
t018, 28, 10
t018, 28, 37
t018, 29, 15
t018, 29, 18
t018, 29, 40
t018, 30, 2
t018, 31, 17
t018, 31, 26
t018, 32, 1
t018, 32, 38
t018, 33, 2
t018, 34, 3
t018, 35, 11
t018, 35, 13
t018, 35, 14
t018, 35, 15
t018, 35, 23
t018, 36, 15
t018, 36, 33
t018, 37, 13
t018, 38, 21
t018, 38, 34
t018, 39, 3
t018, 39, 21
t018, 40, 12
t018, 40, 15
t018, 40, 17
t018, 40, 23
t018, 40, 32
t018, 40, 34
t019, 2, 16
t019, 2, 33
t019, 4, 18
t019, 4, 23
t019, 4, 33
t019, 4, 37
t019, 5, 2
t019, 5, 15
t019, 5, 18
t019, 6, 34
t019, 7, 15
t019, 7, 36
t019, 7, 37
t019, 8, 31
t019, 9, 17
t019, 10, 17
t019, 10, 22
t019, 11, 3
t019, 11, 34
t019, 12, 2
t019, 12, 8
t019, 12, 33
t019, 12, 39
t019, 13, 1
t019, 13, 5
t019, 13, 17
t019, 13, 18
t019, 13, 35
t019, 13, 37
t019, 14, 15
t019, 14, 22
t019, 14, 23
t019, 14, 31
t019, 15, 6
t019, 15, 7
t019, 16, 7
