t,src,snk
t009, 16, 2
t010, 16, 2
t011, 16, 2
t012, 13, 12
t012, 16, 2
t013, 13, 12
t013, 16, 2
t014, 9, 37
t014, 13, 12
t014, 15, 19
t014, 16, 2
t014, 16, 28
t015, 1, 21
t015, 9, 37
t015, 13, 12
t015, 15, 19
t015, 16, 2
t015, 16, 28
t015, 30, 38
t015, 39, 38
t016, 1, 9
t016, 1, 21
t016, 2, 24
t016, 7, 14
t016, 8, 24
t016, 9, 37
t016, 11, 10
t016, 16, 28
t016, 17, 40
t016, 18, 32
t016, 21, 18
t016, 28, 6
t016, 28, 17
t016, 30, 38
t016, 32, 18
t016, 33, 19
t016, 39, 38
t016, 40, 17
t017, 1, 9
t017, 1, 21
t017, 7, 14
t017, 9, 37
t017, 11, 10
t017, 16, 28
t017, 17, 40
t017, 18, 32
t017, 21, 8
t017, 21, 18
t017, 26, 11
t017, 28, 6
t017, 28, 17
t017, 32, 18
t017, 32, 25
t017, 33, 11
t017, 39, 19
t017, 39, 38
t017, 40, 17
t018, 1, 21
t018, 3, 10
t018, 7, 14
t018, 9, 37
t018, 16, 29
t018, 17, 22
t018, 17, 40
t018, 18, 32
t018, 19, 13
t018, 21, 8
t018, 21, 18
t018, 22, 38
t018, 24, 11
t018, 26, 11
t018, 27, 6
t018, 28, 6
t018, 28, 20
t018, 32, 18
t018, 32, 25
t018, 33, 11
t018, 36, 38
t018, 37, 9
t018, 39, 12
t018, 39, 19
t018, 39, 29
t018, 39, 38
t018, 40, 17
t019, 1, 21
t019, 3, 10
t019, 5, 6
t019, 7, 14
t019, 9, 37
t019, 11, 33
t019, 13, 19
t019, 13, 26
t019, 14, 13
t019, 14, 38
t019, 15, 21
t019, 16, 29
t019, 17, 22
t019, 17, 40
t019, 18, 32
t019, 19, 13
t019, 21, 8
t019, 21, 18
t019, 22, 38
t019, 24, 7
t019, 24, 11
t019, 25, 8
t019, 27, 6
t019, 27, 15
t019, 28, 6
t019, 28, 7
t019, 32, 17
t019, 32, 18
t019, 32, 25
t019, 33, 11
t019, 36, 8
t019, 36, 38
t019, 39, 19
t019, 39, 29
t019, 39, 38
t019, 40, 7
t019, 40, 8
t020, 1, 21
t020, 2, 25
t020, 5, 6
t020, 7, 14
t020, 8, 3
t020, 9, 37
t020, 11, 33
t020, 13, 19
t020, 14, 13
t020, 14, 38
t020, 15, 8
t020, 15, 21
t020, 17, 22
t020, 17, 27
t020, 18, 31
t020, 18, 38
t020, 19, 13
t020, 21, 8
t020, 21, 18
t020, 21, 24
t020, 21, 25
t020, 22, 38
t020, 24, 5
t020, 24, 7
t020, 25, 8
t020, 27, 6
t020, 27, 12
t020, 27, 15
t020, 28, 7
t020, 28, 20
t020, 29, 2
t020, 30, 21
t020, 30, 27
t020, 32, 17
t020, 32, 25
t020, 33, 11
t020, 34, 31
t020, 36, 6
t020, 36, 8
t020, 36, 38
t020, 38, 8
t020, 38, 36
t020, 39, 19
t020, 39, 29
t020, 39, 38
t020, 40, 7
t020, 40, 8
t021, 1, 6
t021, 1, 21
t021, 2, 11
t021, 2, 25
t021, 7, 14
t021, 8, 3
t021, 8, 18
t021, 9, 37
t021, 11, 33
t021, 13, 19
t021, 14, 13
t021, 14, 38
t021, 15, 2
t021, 15, 8
t021, 15, 21
t021, 17, 22
t021, 17, 27
t021, 18, 21
t021, 18, 31
t021, 18, 38
t021, 19, 6
t021, 19, 13
t021, 21, 8
t021, 21, 18
t021, 21, 24
t021, 21, 25
t021, 23, 20
t021, 24, 5
t021, 25, 8
t021, 26, 23
t021, 27, 12
t021, 27, 15
t021, 28, 7
t021, 28, 20
t021, 29, 2
t021, 30, 21
t021, 30, 27
t021, 30, 33
t021, 32, 17
t021, 32, 25
t021, 34, 31
t021, 35, 9
t021, 36, 6
