t,src,snk
t010, 4, 12
t010, 8, 12
t010, 31, 12
t011, 4, 12
t011, 8, 12
t011, 31, 12
t012, 4, 12
t012, 6, 34
t012, 31, 12
t013, 4, 12
t013, 6, 34
t014, 1, 12
t014, 1, 23
t014, 4, 12
t014, 6, 34
t014, 20, 39
t014, 23, 40
t014, 40, 17
t015, 1, 12
t015, 4, 12
t015, 6, 34
t015, 10, 17
t015, 14, 22
t015, 20, 39
t015, 23, 40
t015, 40, 17
t016, 1, 12
t016, 5, 15
t016, 6, 34
t016, 10, 17
t016, 12, 2
t016, 12, 8
t016, 14, 15
t016, 14, 22
t016, 14, 31
t016, 18, 40
t016, 20, 39
t016, 21, 1
t016, 23, 40
t016, 28, 10
t016, 36, 15
t016, 40, 17
t017, 1, 12
t017, 2, 23
t017, 5, 15
t017, 6, 34
t017, 10, 17
t017, 11, 34
t017, 12, 2
t017, 12, 8
t017, 12, 33
t017, 14, 15
t017, 14, 22
t017, 14, 31
t017, 17, 38
t017, 18, 40
t017, 20, 39
t017, 23, 40
t017, 35, 23
t017, 36, 15
t017, 39, 21
t017, 40, 12
t017, 40, 17
t018, 5, 15
t018, 6, 34
t018, 10, 17
t018, 11, 34
t018, 12, 2
t018, 12, 8
t018, 12, 33
t018, 14, 15
t018, 14, 22
t018, 14, 23
t018, 14, 31
t018, 17, 38
t018, 18, 40
t018, 20, 26
t018, 23, 40
t018, 24, 28
t018, 27, 32
t018, 36, 15
t018, 37, 13
t018, 39, 21
t018, 40, 12
t018, 40, 17
t018, 40, 23
t018, 40, 32
t018, 40, 34
t019, 2, 16
t019, 5, 2
t019, 5, 15
t019, 6, 34
t019, 10, 17
t019, 11, 34
t019, 12, 2
t019, 12, 33
t019, 12, 39
t019, 13, 5
t019, 14, 15
t019, 14, 22
t019, 14, 23
t019, 14, 31
t019, 18, 40
t019, 19, 15
t019, 22, 38
t019, 23, 40
t019, 24, 28
t019, 25, 15
t019, 25, 24
t019, 26, 1
t019, 26, 34
t019, 27, 32
t019, 33, 2
t019, 35, 15
t019, 36, 15
t019, 37, 13
t019, 39, 21
t019, 40, 12
t019, 40, 17
t019, 40, 23
t019, 40, 32
t019, 40, 34
t020, 2, 16
t020, 4, 33
t020, 5, 2
t020, 6, 34
t020, 7, 28
t020, 10, 17
t020, 10, 22
t020, 11, 34
t020, 12, 2
t020, 12, 33
t020, 13, 5
t020, 13, 8
t020, 13, 39
t020, 14, 15
t020, 18, 40
t020, 19, 15
t020, 23, 33
t020, 23, 35
t020, 23, 40
t020, 24, 28
t020, 25, 15
t020, 25, 24
t020, 26, 1
t020, 26, 34
t020, 27, 32
t020, 29, 22
t020, 31, 17
t020, 35, 15
t020, 35, 23
t020, 36, 15
t020, 36, 26
t020, 37, 13
t020, 38, 12
t020, 39, 21
t020, 40, 12
t020, 40, 20
t020, 40, 23
t020, 40, 25
t020, 40, 34
t021, 2, 16
t021, 4, 22
t021, 4, 33
t021, 5, 2
t021, 6, 34
t021, 7, 28
t021, 9, 17
t021, 10, 7
t021, 10, 17
t021, 10, 23
t021, 10, 34
t021, 11, 3
t021, 11, 34
t021, 12, 2
t021, 12, 33
t021, 13, 39
t021, 14, 1
t021, 14, 30
t021, 15, 3
t021, 16, 7
t021, 19, 15
t021, 19, 16
t021, 20, 21
t021, 22, 23
t021, 23, 27
t021, 23, 33
t021, 23, 35
t021, 23, 40
t021, 25, 24
t021, 26, 1
t021, 26, 34
t021, 27, 3
t021, 27, 32
t021, 29, 22
t021, 31, 17
t021, 31, 23
t021, 35, 12
t021, 35, 23
t021, 36, 26
t021, 38, 12
t021, 40, 12
t021, 40, 17
t021, 40, 20
t021, 40, 23
t021, 40, 25
t021, 40, 26
t022, 2, 16
t022, 4, 22
t022, 4, 33
t022, 5, 15
t022, 6, 7
t022, 6, 34
t022, 8, 19
t022, 9, 17
t022, 10, 3
t022, 10, 17
