t,src,snk
t011, 15, 22
t014, 23, 22
t014, 39, 8
t015, 14, 22
t015, 15, 16
t016, 16, 35
t016, 34, 23
t017, 34, 23
t018, 4, 35
t018, 21, 22
t018, 22, 16
t018, 34, 23
t019, 4, 35
t019, 13, 11
t019, 23, 10
t019, 34, 23
t019, 39, 4
t020, 3, 11
t020, 4, 35
t020, 11, 34
t020, 15, 16
t020, 18, 4
t020, 18, 35
t020, 24, 23
t020, 32, 23
t020, 34, 23
t020, 37, 18
t020, 39, 4
t021, 1, 26
t021, 4, 26
t021, 11, 22
t021, 11, 34
t021, 18, 4
t021, 18, 35
t021, 24, 23
t021, 28, 11
t021, 31, 11
t021, 40, 11
t022, 3, 11
t022, 4, 8
t022, 4, 37
t022, 11, 10
t022, 18, 35
t022, 31, 11
t022, 34, 22
t023, 2, 16
t023, 11, 10
t023, 18, 4
t023, 26, 18
t023, 31, 10
t023, 34, 22
t024, 3, 26
t024, 8, 16
t024, 11, 10
t024, 11, 34
t024, 14, 22
t024, 18, 4
t024, 26, 18
t024, 31, 19
t024, 31, 26
t024, 35, 16
t025, 1, 4
t025, 11, 10
t025, 14, 22
t025, 18, 4
t025, 26, 18
t025, 31, 26
t026, 1, 4
t026, 4, 14
t026, 4, 35
t026, 5, 25
t026, 6, 22
t026, 7, 16
t026, 11, 10
t026, 18, 22
t026, 26, 18
t026, 28, 11
t026, 31, 26
t026, 34, 22
t026, 37, 29
t027, 8, 16
t027, 10, 18
t027, 12, 22
t027, 18, 4
t027, 18, 22
t027, 21, 22
t027, 26, 18
t027, 26, 25
t027, 36, 29
t027, 36, 37
t027, 37, 29
t028, 10, 11
t028, 10, 18
t028, 15, 7
t028, 18, 4
t028, 26, 18
t028, 36, 29
t028, 36, 37
t028, 37, 29
t029, 10, 11
t029, 10, 18
t029, 10, 22
t029, 12, 22
t029, 18, 4
t029, 18, 22
t029, 21, 22
t029, 22, 4
t029, 26, 11
t029, 26, 35
t029, 29, 6
t029, 37, 29
t029, 40, 25
t030, 5, 25
t030, 7, 16
t030, 8, 25
t030, 10, 34
t030, 11, 34
t030, 17, 10
t030, 18, 4
t030, 20, 10
t030, 21, 39
t030, 26, 25
t030, 27, 10
t030, 30, 29
t030, 31, 35
t030, 35, 26
t030, 36, 29
t030, 39, 37
t030, 40, 25
t031, 8, 37
t031, 12, 26
t031, 18, 4
t031, 22, 16
t031, 22, 24
t031, 26, 22
t031, 26, 37
t031, 27, 10
t031, 28, 11
t031, 29, 35
t031, 30, 29
t031, 35, 40
t031, 36, 29
t031, 39, 19
t031, 39, 29
t031, 39, 35
t031, 39, 40
t032, 4, 37
t032, 4, 40
t032, 6, 26
t032, 12, 26
t032, 14, 29
t032, 17, 10
t032, 18, 35
t032, 21, 11
t032, 22, 10
t032, 23, 40
t032, 26, 1
t032, 26, 22
t032, 26, 28
t032, 27, 10
t032, 27, 24
