t,src,snk
t028, 16, 1
t028, 16, 8
t028, 16, 17
t028, 16, 25
t028, 17, 7
t028, 17, 9
t028, 17, 10
t028, 17, 11
t028, 17, 31
t028, 18, 9
t028, 18, 16
t028, 18, 25
t028, 18, 26
t028, 19, 9
t028, 20, 39
t028, 22, 27
t028, 23, 2
t028, 23, 13
t028, 23, 17
t028, 23, 19
t028, 25, 28
t028, 27, 6
t028, 27, 8
t028, 27, 28
t028, 29, 5
t028, 29, 6
t028, 29, 16
t028, 29, 26
t028, 29, 37
t028, 29, 38
t028, 31, 28
t028, 33, 1
t028, 34, 31
t028, 36, 26
t028, 37, 18
t028, 38, 1
t028, 38, 17
t028, 38, 28
t028, 39, 13
t028, 39, 38
t028, 40, 26
t028, 40, 28
t029, 2, 10
t029, 2, 21
t029, 2, 37
t029, 3, 15
t029, 5, 3
t029, 5, 16
t029, 6, 5
t029, 6, 28
t029, 6, 30
t029, 8, 6
t029, 8, 16
t029, 9, 7
t029, 10, 13
t029, 10, 37
t029, 10, 40
t029, 12, 8
t029, 12, 16
t029, 12, 27
t029, 12, 37
t029, 14, 17
t029, 15, 20
t029, 16, 1
t029, 16, 4
t029, 16, 10
t029, 16, 23
t029, 16, 25
t029, 16, 28
t029, 16, 36
t029, 17, 7
t029, 17, 9
t029, 17, 10
t029, 17, 11
t029, 17, 31
t029, 18, 16
t029, 18, 25
t029, 18, 26
t029, 19, 9
t029, 20, 39
t029, 22, 3
t029, 22, 6
t029, 22, 27
t029, 23, 2
t029, 23, 13
t029, 23, 19
t029, 23, 35
t029, 25, 28
t029, 27, 6
t029, 27, 8
t029, 27, 28
t029, 29, 5
t029, 29, 6
t029, 29, 16
t029, 29, 25
t029, 29, 26
t029, 29, 37
t029, 29, 38
t029, 31, 28
t029, 34, 15
t029, 34, 31
t029, 36, 26
t029, 37, 18
t029, 38, 1
t029, 39, 38
t029, 40, 12
t029, 40, 26
t029, 40, 28
t030, 2, 21
t030, 3, 15
t030, 5, 16
t030, 6, 5
t030, 6, 28
t030, 8, 1
t030, 8, 6
t030, 8, 29
t030, 10, 12
t030, 10, 13
t030, 10, 37
t030, 10, 40
t030, 12, 7
t030, 12, 8
t030, 12, 16
t030, 12, 37
t030, 14, 17
t030, 15, 20
t030, 16, 1
t030, 16, 23
t030, 16, 25
t030, 16, 28
t030, 16, 36
t030, 16, 37
t030, 17, 10
t030, 17, 11
t030, 18, 10
t030, 18, 16
t030, 18, 25
t030, 18, 26
t030, 18, 38
t030, 18, 39
t030, 20, 39
t030, 22, 3
t030, 22, 6
t030, 23, 13
t030, 23, 19
t030, 25, 28
t030, 27, 6
t030, 27, 8
t030, 28, 8
t030, 29, 5
t030, 29, 6
t030, 29, 25
t030, 29, 26
t030, 29, 38
t030, 32, 24
t030, 34, 15
t030, 34, 31
t030, 35, 34
t030, 37, 18
t030, 37, 23
t030, 39, 38
t030, 40, 12
t030, 40, 26
t031, 6, 28
t031, 8, 1
t031, 8, 6
t031, 8, 21
t031, 8, 29
t031, 9, 18
t031, 12, 7
t031, 12, 8
t031, 12, 16
t031, 14, 17
t031, 15, 13
t031, 15, 20
t031, 16, 1
t031, 16, 28
t031, 16, 36
t031, 16, 37
t031, 17, 11
t031, 18, 7
t031, 18, 10
t031, 18, 15
t031, 18, 16
t031, 18, 21
t031, 18, 22
t031, 18, 25
t031, 18, 38
t031, 18, 39
t031, 22, 14
t031, 22, 21
t031, 22, 30
t031, 23, 1
t031, 23, 13
t031, 23, 19
t031, 27, 6
t031, 27, 8
t031, 28, 8
t031, 29, 5
t031, 29, 6
t031, 29, 18
t031, 29, 25
t031, 29, 26
t031, 29, 38
t031, 30, 23
t031, 32, 12
t031, 32, 24
t031, 34, 15
t031, 35, 34
t031, 36, 14
t031, 37, 18
t031, 37, 23
t031, 38, 1
t031, 39, 28
t031, 40, 12
t031, 40, 26
t032, 6, 28
t032, 8, 29
t032, 9, 1
t032, 12, 6
t032, 12, 7
t032, 12, 16
t032, 12, 17
t032, 15, 13
t032, 15, 20
t032, 16, 1
t032, 16, 28
t032, 16, 31
t032, 16, 37
t032, 17, 11
t032, 17, 12
t032, 18, 22
t032, 18, 25
t032, 21, 1
t032, 22, 14
t032, 22, 21
t032, 22, 30
t032, 23, 1
t032, 23, 13
t032, 23, 19
t032, 23, 33
t032, 24, 28
t032, 27, 23
t032, 28, 8
t032, 29, 5
t032, 29, 18
t032, 29, 25
t032, 29, 26
t032, 29, 38
t032, 30, 23
t032, 32, 2
t032, 32, 12
t032, 32, 24
t032, 34, 7
t032, 34, 15
t032, 36, 14
t032, 37, 18
t032, 37, 38
t032, 38, 1
t032, 39, 28
t032, 40, 12
t032, 40, 18
t032, 40, 20
t032, 40, 26
t032, 40, 31
t033, 6, 4
t033, 6, 5
t033, 8, 18
t033, 8, 29
t033, 9, 1
t033, 12, 6
t033, 12, 7
t033, 12, 16
t033, 12, 17
t033, 14, 4
t033, 15, 13
t033, 16, 1
t033, 16, 31
t033, 16, 37
t033, 17, 11
t033, 17, 12
t033, 17, 38
t033, 18, 21
t033, 18, 22
t033, 18, 25
t033, 22, 14
t033, 22, 21
t033, 22, 30
t033, 23, 1
t033, 23, 22
t033, 23, 33
t033, 24, 11
t033, 24, 28
t033, 24, 38
t033, 25, 9
t033, 27, 9
t033, 27, 23
t033, 28, 8
t033, 29, 5
t033, 29, 15
t033, 29, 18
t033, 29, 24
t033, 29, 25
t033, 29, 26
t033, 29, 31
t033, 29, 38
t033, 30, 22
t033, 31, 38
t033, 32, 12
t033, 34, 7
t033, 34, 26
t033, 36, 14
t033, 37, 18
t033, 37, 20
t033, 37, 38
t033, 38, 1
t033, 39, 1
t033, 39, 3
t033, 39, 19
t033, 39, 28
t033, 40, 12
t033, 40, 18
t034, 6, 4
t034, 6, 5
t034, 8, 29
t034, 9, 1
t034, 9, 19
t034, 12, 7
t034, 12, 17
t034, 13, 7
t034, 13, 35
t034, 13, 38
t034, 14, 4
t034, 15, 13
t034, 16, 1
t034, 16, 31
t034, 16, 37
t034, 16, 38
t034, 17, 11
t034, 17, 12
t034, 17, 19
t034, 17, 21
t034, 17, 38
t034, 18, 10
t034, 18, 22
t034, 18, 25
t034, 21, 20
t034, 22, 14
t034, 22, 19
t034, 22, 26
t034, 23, 14
t034, 23, 33
t034, 23, 35
t034, 24, 4
t034, 24, 11
t034, 24, 28
t034, 24, 38
t034, 25, 7
t034, 25, 9
t034, 26, 2
t034, 27, 9
t034, 28, 27
t034, 29, 3
t034, 29, 5
t034, 29, 15
t034, 29, 18
t034, 29, 26
t034, 30, 21
t034, 30, 22
t034, 34, 7
t034, 34, 26
t034, 34, 31
t034, 37, 12
t034, 37, 18
t034, 37, 34
t034, 37, 38
t034, 37, 39
t034, 38, 1
t034, 38, 34
t034, 39, 1
t034, 39, 3
t034, 39, 18
t034, 39, 19
t034, 39, 33
t034, 40, 18
t035, 3, 23
t035, 6, 4
t035, 6, 5
t035, 8, 29
t035, 9, 1
t035, 9, 19
t035, 11, 26
t035, 12, 17
t035, 13, 5
t035, 13, 7
t035, 13, 15
t035, 13, 26
t035, 13, 30
t035, 13, 35
t035, 13, 36
t035, 14, 4
t035, 14, 33
t035, 15, 13
t035, 16, 1
t035, 16, 31
t035, 16, 38
t035, 17, 11
t035, 17, 19
t035, 18, 10
t035, 18, 25
t035, 18, 31
t035, 21, 20
t035, 22, 19
t035, 22, 26
t035, 23, 14
t035, 23, 33
t035, 23, 35
t035, 24, 4
t035, 24, 7
t035, 24, 34
t035, 25, 7
t035, 25, 9
t035, 26, 2
t035, 26, 40
t035, 27, 2
t035, 27, 8
t035, 29, 2
t035, 29, 3
t035, 29, 6
t035, 29, 15
t035, 29, 26
t035, 30, 21
t035, 30, 22
t035, 30, 37
t035, 32, 6
t035, 32, 20
t035, 32, 25
t035, 34, 7
t035, 34, 26
t035, 34, 31
t035, 36, 6
t035, 36, 19
t035, 37, 18
t035, 37, 38
t035, 37, 39
t035, 38, 1
t035, 38, 3
t035, 38, 34
t035, 39, 3
t035, 39, 18
t035, 39, 19
t035, 39, 33
t035, 40, 18
t036, 1, 19
t036, 2, 1
t036, 3, 23
t036, 5, 2
t036, 5, 9
t036, 6, 4
t036, 6, 5
t036, 9, 1
t036, 9, 16
t036, 9, 19
t036, 13, 5
t036, 13, 7
t036, 13, 26
t036, 13, 35
t036, 14, 4
t036, 14, 33
t036, 15, 13
t036, 16, 1
t036, 16, 31
t036, 16, 38
t036, 17, 11
t036, 17, 19
t036, 18, 10
t036, 18, 12
t036, 18, 25
t036, 18, 31
t036, 21, 20
t036, 23, 14
t036, 23, 35
t036, 24, 4
t036, 24, 7
t036, 24, 34
t036, 25, 7
t036, 25, 9
t036, 26, 2
t036, 26, 40
t036, 27, 2
t036, 27, 8
t036, 27, 28
t036, 29, 3
t036, 29, 6
t036, 29, 26
t036, 30, 21
t036, 30, 22
t036, 30, 37
t036, 31, 10
t036, 32, 3
t036, 32, 6
t036, 32, 20
t036, 32, 25
t036, 34, 31
t036, 35, 26
t036, 36, 6
t036, 36, 19
t036, 37, 18
t036, 37, 38
t036, 37, 39
t036, 38, 1
t036, 38, 3
t036, 38, 26
t036, 38, 31
t036, 38, 34
t036, 38, 39
t036, 39, 3
t036, 39, 18
t036, 39, 19
t036, 39, 33
t037, 1, 19
t037, 2, 1
t037, 2, 4
t037, 3, 15
t037, 3, 23
t037, 3, 28
t037, 4, 36
t037, 6, 5
t037, 9, 1
t037, 9, 16
t037, 9, 19
t037, 11, 28
t037, 13, 35
t037, 14, 4
t037, 14, 33
t037, 15, 13
t037, 16, 1
t037, 16, 21
t037, 16, 25
t037, 16, 31
t037, 16, 38
t037, 17, 11
t037, 17, 19
t037, 18, 31
t037, 18, 39
t037, 19, 10
t037, 23, 5
t037, 23, 14
t037, 23, 16
t037, 23, 26
t037, 23, 35
t037, 24, 7
t037, 24, 34
t037, 25, 7
t037, 25, 9
t037, 25, 10
t037, 25, 18
t037, 25, 20
t037, 26, 2
t037, 26, 12
t037, 26, 13
t037, 26, 40
t037, 27, 2
t037, 27, 6
t037, 27, 8
t037, 27, 28
t037, 29, 3
t037, 29, 6
t037, 29, 21
t037, 30, 21
t037, 30, 22
t037, 30, 37
t037, 32, 3
t037, 32, 6
t037, 32, 9
t037, 32, 13
t037, 32, 20
t037, 32, 25
t037, 32, 29
t037, 35, 26
t037, 36, 6
t037, 37, 39
t037, 38, 1
t037, 38, 3
t037, 38, 15
t037, 38, 21
t037, 38, 31
t037, 38, 32
t037, 38, 34
t037, 38, 39
t037, 39, 10
t037, 39, 16
t037, 39, 19
t037, 39, 28
t037, 39, 30
t037, 39, 33
t037, 40, 10
t037, 40, 33
t038, 2, 12
t038, 2, 16
t038, 2, 37
t038, 3, 15
t038, 3, 23
t038, 3, 28
t038, 4, 36
t038, 6, 5
t038, 6, 34
t038, 10, 15
t038, 13, 35
t038, 14, 33
t038, 15, 10
t038, 15, 13
t038, 16, 1
t038, 16, 21
t038, 16, 25
t038, 16, 31
t038, 17, 11
t038, 17, 19
t038, 18, 31
t038, 18, 39
t038, 19, 10
t038, 22, 6
t038, 23, 5
t038, 23, 14
t038, 23, 16
t038, 23, 35
t038, 25, 18
t038, 25, 28
t038, 26, 13
t038, 27, 2
t038, 27, 8
t038, 27, 28
t038, 29, 3
t038, 29, 6
t038, 29, 21
t038, 29, 37
t038, 30, 16
t038, 30, 26
t038, 30, 31
t038, 31, 6
t038, 31, 33
t038, 32, 6
t038, 32, 13
t038, 32, 20
t038, 32, 25
t038, 33, 28
t038, 36, 6
t038, 37, 22
t038, 37, 39
t038, 38, 21
t038, 38, 22
t038, 38, 31
t038, 38, 32
t038, 38, 34
t038, 38, 39
t038, 39, 16
t038, 39, 19
t038, 39, 28
t038, 39, 30
t038, 40, 10
t038, 40, 15
t038, 40, 33
t039, 2, 10
t039, 2, 12
t039, 2, 16
t039, 2, 37
t039, 3, 13
t039, 3, 15
t039, 3, 23
t039, 4, 36
t039, 4, 38
t039, 6, 5
t039, 7, 26
t039, 8, 1
t039, 9, 1
t039, 10, 15
t039, 13, 35
t039, 14, 33
t039, 15, 10
t039, 15, 13
t039, 16, 1
t039, 16, 6
t039, 16, 24
t039, 16, 25
t039, 17, 19
t039, 17, 21
t039, 18, 31
t039, 18, 39
t039, 19, 10
t039, 19, 37
t039, 22, 6
t039, 22, 26
t039, 23, 5
t039, 23, 14
t039, 23, 16
t039, 23, 35
t039, 25, 18
t039, 25, 28
t039, 26, 13
t039, 27, 8
t039, 27, 28
t039, 29, 3
t039, 29, 37
t039, 30, 16
t039, 30, 31
t039, 31, 33
t039, 32, 6
t039, 32, 13
t039, 32, 20
t039, 32, 23
t039, 32, 25
t039, 36, 6
t039, 37, 1
t039, 37, 22
t039, 38, 21
t039, 38, 22
t039, 38, 31
t039, 38, 34
t039, 39, 16
t039, 39, 28
t039, 40, 10
t039, 40, 33
t040, 1, 3
t040, 2, 9
t040, 2, 12
t040, 2, 21
t040, 2, 22
t040, 3, 13
t040, 3, 15
t040, 3, 22
t040, 3, 23
t040, 4, 36
t040, 4, 38
t040, 7, 26
t040, 8, 1
t040, 8, 28
t040, 14, 33
t040, 15, 10
t040, 16, 1
t040, 16, 24
t040, 16, 25
t040, 16, 37
t040, 17, 21
t040, 18, 31
t040, 18, 39
t040, 19, 10
t040, 19, 16
t040, 19, 37
t040, 22, 6
t040, 22, 26
t040, 23, 5
t040, 23, 14
t040, 23, 35
t040, 24, 37
t040, 25, 18
t040, 25, 21
t040, 26, 13
t040, 27, 8
t040, 27, 15
t040, 27, 32
t040, 28, 11
t040, 29, 37
t040, 30, 16
t040, 31, 33
t040, 32, 6
t040, 32, 20
t040, 33, 6
t040, 36, 6
t040, 36, 30
