label, xcoord, ycoord, zcoord, clust10
60, 52.0876, 38, -6.749, 2
61, 51.2661, 25.3387, -8.1935, 2
62, 42.0247, 41.3086, -10.5926, 2
63, -44.7435, 32.3792, 18.8401, 2
64, -49.6667, 21.725, 17.95, 2
65, -48.4956, 29.2743, 7.3186, 2
66, -46.2776, 25.3878, 1.7878, 2
67, -40.7033, 40.0366, 10.0659, 2
68, -45.4762, 34.1238, 7.581, 2
69, -46.7774, 19.8717, 7.1623, 2
70, -45.7692, 27.0154, 24.8308, 2
71, -48.3768, 17.7754, 26.7609, 2
72, -43.366, 39.4189, 1.034, 2
73, 53.2681, 31.2681, 1.8128, 2
74, 47.5591, 31.3858, 22.4646, 2
75, 53.0341, 28.6634, 9.7561, 2
76, 48.7431, 36.4032, 10.9486, 2
77, 50.4462, 18.9462, 21.3462, 2
78, 47.4502, 39.3944, 1.004, 2
79, 54.2455, 22.6818, 3.6545, 2
80, 50.4, 25.9822, 15.4667, 2
81, 46.6935, 24.6452, 26.5403, 2
82, -5.7107, 39.3388, -10.4545, 2
83, -6.5167, 63.6, -5.85, 2
84, -4.0675, 54.7511, -10.27, 2
85, 7.9649, 37.5439, -9.5579, 2
86, 9.1049, 62.8601, -7.6853, 2
87, 6.4281, 50.7719, -8.3088, 2
88, -36.0496, 51.1983, 14.3058, 2
89, -33.2829, 40.0876, 26.9163, 2
90, -39.7887, 15.9396, 42.9358, 2
91, -33.2419, 26.6715, 43.9639, 2
92, -30.3689, 49.8115, 20.0574, 2
93, -25.4217, 15.7992, 54.8514, 2
94, -35.5743, 7.4538, 51.3173, 2
95, -44.779, 17.3034, 37.1461, 2
96, -36.4535, 34.052, 34.4387, 2
97, -39.547, 24.2479, 40.3248, 2
98, -42.0308, 33.9897, 26.2667, 2
99, -39.7313, 49.7985, 4.291, 2
100, -25.6644, 28.7315, 47.953, 2
101, -28.1577, 3.5269, 57.0824, 2
102, -24.0238, 47.4286, 28.627, 2
103, -29.1795, 39.8632, 34.7094, 2
104, -30.2905, 55.8176, 8.1554, 2
105, -39.7642, 42.6812, 19.5022, 2
106, -31.7887, 17.2604, 51.1396, 2
107, -25.1266, 54.131, -11.4934, 2
108, -40.7913, 50.2435, -5.3043, 2
109, -24.4211, 38.6754, -16.6754, 2
110, -33.4428, 54.0697, -10.4577, 2
111, 24.4667, 57.075, -13.55, 2
112, 40.4545, 50.0909, -11.7803, 2
113, 27.6453, 43.5547, -16.8906, 2
114, 38.6585, 55.2033, -6.0407, 2
115, 37.6599, 20.7687, 46.4558, 2
116, 28.193, 53.9912, 20.9474, 2
117, 37.3462, 36.4, 35.4769, 2
118, 29.9353, 28.0324, 43.9482, 2
119, 43.7143, 7.7551, 47.0367, 2
120, 44.7353, 45.2549, 11.6078, 2
121, 37.9224, 51.8966, 13.4914, 2
122, 41.5595, 40.2555, 25.0661, 2
123, 34.2568, 55.6959, 3.2027, 2
124, 27.4841, 46.2937, 29.627, 2
125, 43.9051, 37.4941, 19.502, 2
126, 31.3718, 14.5321, 54.4103, 2
